ranking,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,regionCode,tournamentName,tournamentShortName,firstName,lastName,playerId,isActive,isOpta,teamId,teamName,teamRegionName,playedPositions,age,height,weight,positionText,apps,subOn,minsPlayed,rating,goal,assistTotal,yellowCard,redCard,shotsPerGame,aerialWonPerGame,manOfTheMatch,isManOfTheMatch,playedPositionsShort,name,passSuccess
1,6960,2017/2018,4,206,es,Spain,ar,LaLiga,SLL,Lionel,Messi,11119,True,True,65,Barcelona,Spain,-AMC-AMR-FW-,33,170,72,Forward,36,4,2997,8.684722222222225,34,12,3.0,0.0,5.472222222222222,0.2222222222222222,22,False,"AM(CR),FW",Lionel Messi,81.20021242697823
2,6960,2017/2018,4,206,es,Spain,pt,LaLiga,SLL,Cristiano Ronaldo,dos Santos Aveiro,5583,False,True,52,Real Madrid,Spain,-FW-ML-,36,187,83,Forward,27,0,2293,7.936666666666668,26,5,1.0,0.0,6.592592592592593,1.2592592592592593,7,False,"M(L),FW",Cristiano Ronaldo,81.55737704918032
3,6960,2017/2018,4,206,es,Spain,uy,LaLiga,SLL,Luis,Suárez,22221,False,True,65,Barcelona,Spain,-AMC-AML-AMR-FW-,34,182,86,Forward,33,1,2902,7.7212121212121225,25,12,9.0,0.0,3.6666666666666665,0.3939393939393939,5,False,"AM(CLR),FW",Luis Suárez,76.85009487666035
4,6960,2017/2018,4,206,es,Spain,br,LaLiga,SLL,Philippe,Coutinho Correia,80767,True,True,65,Barcelona,Spain,-MC-ML-MR-,28,172,68,Midfielder,18,2,1304,7.662222222222222,8,5,1.0,0.0,2.0555555555555554,0.2777777777777778,2,False,M(CLR),Philippe Coutinho,86.85503685503686
5,6960,2017/2018,4,206,es,Spain,br,LaLiga,SLL,Carlos Henrique,Casimiro,88526,True,True,52,Real Madrid,Spain,-DMC-,29,185,84,Midfielder,30,0,2601,7.494999999999999,5,3,8.0,0.0,1.0666666666666667,2.1333333333333333,1,False,DMC,Casemiro,88.36676217765043
6,6960,2017/2018,4,206,es,Spain,gb-wls,LaLiga,SLL,Gareth,Bale,13812,False,True,52,Real Madrid,Spain,-FW-MC-ML-MR-,31,185,81,Forward,26,6,1803,7.491153846153846,16,2,5.0,0.0,2.9615384615384617,1.2692307692307692,6,False,"M(CLR),FW",Gareth Bale,82.47126436781609
7,6960,2017/2018,4,206,es,Spain,es,LaLiga,SLL,Iago,Aspas,91242,True,True,62,Celta Vigo,Spain,-AMC-AMR-FW-,33,176,67,Forward,34,1,2938,7.490588235294119,22,5,9.0,0.0,2.764705882352941,0.47058823529411764,11,False,"AM(CR),FW",Iago Aspas,78.7682333873582
8,6960,2017/2018,4,206,es,Spain,de,LaLiga,SLL,Toni,Kroos,31772,True,True,52,Real Madrid,Spain,-MC-,31,183,76,Midfielder,27,1,2268,7.474814814814817,5,7,4.0,0.0,1.5185185185185186,0.4074074074074074,0,False,M(C),Toni Kroos,93.09178743961353
9,6960,2017/2018,4,206,es,Spain,br,LaLiga,SLL,Filipe Luís,Kasmirski,22152,False,True,63,Atletico,Spain,-DL-,35,182,74,Defender,20,1,1660,7.4485,1,2,4.0,0.0,0.25,0.9,2,False,D(L),Filipe Luís,83.43881856540084
10,6960,2017/2018,4,206,es,Spain,es,LaLiga,SLL,Daniel,Parejo,28186,False,True,55,Valencia,Spain,-MC-,32,182,74,Midfielder,34,0,3005,7.411764705882353,7,7,15.0,1.0,1.3235294117647058,0.5,7,False,M(C),Daniel Parejo,85.57529610829103
